epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,52337.8,1.3428,0.97036,1.15033,0.71237,0.58439,0.63701,0.35839,1.24974,2.56891,0.95055,0.000218,0.000218,0.000218
92,52736.4,1.33226,0.9599,1.14838,0.71412,0.58397,0.63688,0.35847,1.24949,2.5588,0.95019,0.0001982,0.0001982,0.0001982
93,53136.4,1.32983,0.95613,1.14832,0.71521,0.58328,0.6371,0.35847,1.24953,2.54821,0.94993,0.0001784,0.0001784,0.0001784
94,53535.5,1.32271,0.95281,1.14204,0.71526,0.58341,0.63774,0.35885,1.24963,2.53666,0.94991,0.0001586,0.0001586,0.0001586
95,53934.7,1.32639,0.95081,1.14701,0.71488,0.58351,0.63769,0.35907,1.24947,2.52518,0.94971,0.0001388,0.0001388,0.0001388
96,54333,1.31761,0.93677,1.14295,0.71531,0.58353,0.63764,0.35918,1.24951,2.515,0.94961,0.000119,0.000119,0.000119
97,54730.2,1.31872,0.93839,1.14395,0.71323,0.58487,0.63777,0.35921,1.2494,2.50503,0.94937,9.92e-05,9.92e-05,9.92e-05
98,55128.8,1.31774,0.93598,1.14555,0.71391,0.5846,0.63799,0.35918,1.24953,2.4954,0.94939,7.94e-05,7.94e-05,7.94e-05
99,55525.7,1.31417,0.92593,1.14086,0.71563,0.58398,0.63826,0.35905,1.24955,2.48855,0.94934,5.96e-05,5.96e-05,5.96e-05
100,55923.6,1.32154,0.93695,1.14506,0.71517,0.58431,0.63909,0.35932,1.24956,2.48181,0.94929,3.98e-05,3.98e-05,3.98e-05
