epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,45718,1.52979,1.34477,1.28929,0.67429,0.51694,0.5711,0.31089,1.29276,3.78882,0.99974,0.0009506,0.0009506,0.0009506
55,46125.7,1.52113,1.33612,1.2902,0.68966,0.51468,0.57145,0.31137,1.29037,3.8783,0.99667,0.0009308,0.0009308,0.0009308
56,46535.2,1.52291,1.33193,1.28964,0.68133,0.52077,0.57448,0.31285,1.29221,3.85939,0.9987,0.000911,0.000911,0.000911
57,46944.6,1.5143,1.33201,1.29224,0.6876,0.5176,0.5748,0.31365,1.28698,3.61252,0.99628,0.0008912,0.0008912,0.0008912
58,47352.5,1.50737,1.31272,1.28071,0.69694,0.50917,0.57544,0.31359,1.28935,3.55124,0.99757,0.0008714,0.0008714,0.0008714
59,47761.2,1.5036,1.31769,1.28255,0.70032,0.51502,0.57701,0.31443,1.2885,3.50491,0.99544,0.0008516,0.0008516,0.0008516
60,48169.7,1.51165,1.30791,1.2777,0.70573,0.51243,0.57698,0.31509,1.28798,3.43473,0.99293,0.0008318,0.0008318,0.0008318
61,48579.4,1.49987,1.28982,1.27642,0.70027,0.51412,0.57832,0.31588,1.28589,3.44572,0.99162,0.000812,0.000812,0.000812
62,48988.5,1.49025,1.28657,1.26966,0.68953,0.51821,0.57944,0.31634,1.2852,3.4713,0.99204,0.0007922,0.0007922,0.0007922
63,49398.1,1.49887,1.28479,1.27998,0.68671,0.52283,0.58098,0.31815,1.28362,3.48948,0.99078,0.0007724,0.0007724,0.0007724
64,49806.8,1.48812,1.28086,1.27131,0.68708,0.5255,0.58287,0.31965,1.28211,3.52166,0.98987,0.0007526,0.0007526,0.0007526
65,50214.6,1.48635,1.27942,1.27101,0.68802,0.5224,0.58446,0.32048,1.28115,3.46845,0.98971,0.0007328,0.0007328,0.0007328
66,50622.8,1.48495,1.27223,1.26304,0.68707,0.52516,0.58519,0.32108,1.27963,3.51918,0.98863,0.000713,0.000713,0.000713
67,51031.6,1.47505,1.26454,1.26485,0.69168,0.52495,0.58515,0.32125,1.27753,3.51353,0.98797,0.0006932,0.0006932,0.0006932
68,51439.6,1.46977,1.26153,1.26288,0.68552,0.52693,0.58615,0.32112,1.27647,3.49172,0.98697,0.0006734,0.0006734,0.0006734
69,51873.5,1.48023,1.27757,1.26245,0.68611,0.52927,0.58599,0.32155,1.275,3.48396,0.98584,0.0006536,0.0006536,0.0006536
70,52307.9,1.47738,1.26538,1.26624,0.69122,0.52762,0.58736,0.32199,1.27427,3.46703,0.98584,0.0006338,0.0006338,0.0006338
71,52744.9,1.45686,1.23865,1.25662,0.68845,0.52705,0.58737,0.32296,1.27427,3.45832,0.98613,0.000614,0.000614,0.000614
72,53181,1.46069,1.24889,1.25195,0.68434,0.52968,0.58746,0.32305,1.2732,3.43946,0.98554,0.0005942,0.0005942,0.0005942
73,53605,1.47269,1.23299,1.25874,0.67982,0.53329,0.58788,0.32332,1.27285,3.43221,0.98515,0.0005744,0.0005744,0.0005744
74,54036.4,1.46219,1.24079,1.24958,0.67754,0.53364,0.58762,0.32382,1.27247,3.40419,0.98421,0.0005546,0.0005546,0.0005546
75,54471.8,1.44318,1.23203,1.24833,0.67476,0.53423,0.58739,0.32414,1.2716,3.36771,0.9833,0.0005348,0.0005348,0.0005348
76,54910.4,1.45325,1.23319,1.24806,0.67564,0.53505,0.58789,0.3243,1.27078,3.34468,0.98251,0.000515,0.000515,0.000515
77,55343.2,1.44875,1.22033,1.24641,0.67599,0.53817,0.58957,0.32467,1.27041,3.32416,0.98216,0.0004952,0.0004952,0.0004952
78,55772,1.44709,1.21893,1.24873,0.67816,0.53827,0.59032,0.32522,1.26985,3.31576,0.98143,0.0004754,0.0004754,0.0004754
