epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,41124.5,1.34195,1.04375,1.17102,0.71199,0.5698,0.63729,0.36434,1.2159,2.58665,0.92769,0.000614,0.000614,0.000614
72,41948,1.34188,1.04814,1.16671,0.7112,0.57072,0.63901,0.3647,1.21553,2.57293,0.92746,0.0005942,0.0005942,0.0005942
73,42773.3,1.3574,1.04412,1.17776,0.71234,0.57186,0.63927,0.36458,1.21515,2.57413,0.92806,0.0005744,0.0005744,0.0005744
74,43600.8,1.348,1.04204,1.16789,0.71662,0.57111,0.63894,0.36448,1.21411,2.56662,0.92786,0.0005546,0.0005546,0.0005546
75,44418.9,1.33616,1.03677,1.16856,0.72199,0.56839,0.6394,0.36524,1.21303,2.54817,0.92762,0.0005348,0.0005348,0.0005348
76,45243,1.34546,1.03578,1.16815,0.72131,0.57062,0.64003,0.36566,1.21322,2.53014,0.92769,0.000515,0.000515,0.000515
77,46066,1.33152,1.03047,1.16002,0.72317,0.57143,0.64107,0.36616,1.21322,2.52205,0.92765,0.0004952,0.0004952,0.0004952
78,46897.5,1.33082,1.01876,1.16236,0.7236,0.56985,0.64203,0.36652,1.21282,2.51714,0.92707,0.0004754,0.0004754,0.0004754
79,47714.4,1.3369,1.01879,1.16359,0.7217,0.5718,0.64327,0.36693,1.21244,2.50138,0.92715,0.0004556,0.0004556,0.0004556
80,48529.3,1.33342,1.02495,1.16385,0.72377,0.57027,0.64363,0.36718,1.21242,2.50163,0.9273,0.0004358,0.0004358,0.0004358
81,49344.6,1.32732,1.01961,1.16049,0.72568,0.57126,0.6447,0.36772,1.21282,2.49437,0.92751,0.000416,0.000416,0.000416
82,50167.7,1.32285,1.00691,1.15725,0.72225,0.57271,0.64462,0.36761,1.21277,2.48495,0.92761,0.0003962,0.0003962,0.0003962
83,50988.3,1.31993,1.01193,1.15589,0.72183,0.57471,0.6458,0.36784,1.2129,2.47833,0.92766,0.0003764,0.0003764,0.0003764
84,51819.2,1.32162,1.00345,1.16043,0.7219,0.57248,0.64565,0.36785,1.21271,2.47469,0.92753,0.0003566,0.0003566,0.0003566
85,52400.3,1.31186,0.99776,1.15324,0.71817,0.57391,0.64566,0.36815,1.21263,2.46831,0.92737,0.0003368,0.0003368,0.0003368
86,52823,1.31323,1.00207,1.15097,0.71957,0.57379,0.64579,0.36787,1.21256,2.46134,0.92744,0.000317,0.000317,0.000317
87,53258,1.32399,1.00287,1.1581,0.71878,0.57412,0.64599,0.36812,1.21263,2.45487,0.92743,0.0002972,0.0002972,0.0002972
88,53693.1,1.31412,1.0018,1.15618,0.72096,0.57547,0.64677,0.36827,1.21291,2.44747,0.92777,0.0002774,0.0002774,0.0002774
89,54130.9,1.31498,0.99116,1.15312,0.7232,0.57544,0.64729,0.36853,1.213,2.44499,0.92783,0.0002576,0.0002576,0.0002576
90,54567.3,1.30495,0.98168,1.14489,0.72322,0.57593,0.64734,0.36885,1.2124,2.441,0.92741,0.0002378,0.0002378,0.0002378
91,55004.2,1.29766,0.90915,1.12049,0.72258,0.57581,0.64734,0.36907,1.21247,2.43243,0.92754,0.000218,0.000218,0.000218
92,55436.3,1.29328,0.89855,1.11761,0.71764,0.57975,0.64735,0.3691,1.21284,2.42325,0.92785,0.0001982,0.0001982,0.0001982
93,55870,1.29845,0.90123,1.11823,0.72049,0.57866,0.64791,0.36916,1.21311,2.41464,0.9279,0.0001784,0.0001784,0.0001784
94,56305,1.28914,0.88708,1.11276,0.7217,0.57918,0.64821,0.36918,1.21317,2.40698,0.92793,0.0001586,0.0001586,0.0001586
95,56740.9,1.29196,0.88524,1.11655,0.7224,0.57961,0.64834,0.36927,1.21335,2.39719,0.92793,0.0001388,0.0001388,0.0001388
96,57176,1.28109,0.87778,1.1106,0.72354,0.58101,0.64868,0.36943,1.2136,2.38645,0.92783,0.000119,0.000119,0.000119
97,57612.1,1.27637,0.88466,1.11171,0.72478,0.58138,0.64882,0.36933,1.21381,2.37743,0.92792,9.92e-05,9.92e-05,9.92e-05
98,58050.3,1.27776,0.87648,1.11453,0.72492,0.58163,0.64944,0.36951,1.21406,2.36858,0.92801,7.94e-05,7.94e-05,7.94e-05
99,58484.9,1.27203,0.87001,1.1085,0.72511,0.58287,0.64861,0.36967,1.21419,2.36011,0.928,5.96e-05,5.96e-05,5.96e-05
100,58918,1.28506,0.8785,1.11697,0.72519,0.58234,0.64892,0.36956,1.21439,2.35271,0.92803,3.98e-05,3.98e-05,3.98e-05
